ParticipantId,QuestionId,Seq,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Difficulty
1,1,73,56163,89308,33306,19195,4943,7716,2346,1112,57.13,1
1,1,74,58297,98710,41116,16899,2660,7639,1421,1719,55.74,1
1,1,75,52603,100694,38045,16076,4327,9320,2976,1473,55.7,1
1,1,76,55354,108381,33732,18270,5695,7396,2431,1770,51.55,1
1,1,77,60214,114007,43296,14166,4619,6617,2248,1473,54.69,1
1,1,78,54767,87562,37056,17768,3457,8641,2342,1717,54.85,1
1,1,79,88265,56480,6584,4031,3817,1708,3517,971,54.16,1
1,1,80,94281,62495,5850,4478,4022,3482,3579,879,52.3,1
1,1,81,91629,53036,5642,3971,4758,1726,5466,1014,59.99,1
1,1,82,73075,53348,6262,3055,2750,1198,3452,1268,53.03,1
1,1,83,92461,50438,7208,5450,3226,2429,2676,795,56.15,1
1,1,84,83940,55066,7080,4251,4101,1320,2849,1146,49.91,1
1,1,85,90968,65926,8163,4597,4374,1915,4340,1271,51.73,1
1,1,86,87273,52822,3800,3890,5746,1795,4363,912,53.67,1
1,1,87,85568,55250,5723,4033,3565,1901,3690,939,56.2,1
1,1,88,74477,59365,5410,5217,5208,2309,3425,1328,54.51,1
1,1,89,84725,60325,7506,4268,4627,2584,3369,915,54.31,1
1,1,90,90418,56298,6232,4563,3200,1690,3018,706,50.72,1
1,1,91,81949,55929,4221,5149,3360,1635,3702,724,57.58,1
1,1,92,86730,50023,5744,5294,4189,1029,3544,684,56.93,1
1,1,93,86376,56322,6615,6132,4411,2297,2711,1203,52.91,1
1,1,94,85396,54862,6781,4098,4396,1393,3729,1101,53.14,1
1,1,95,79245,49821,6906,3814,1882,2322,4081,632,53.44,1
1,1,96,92967,59408,5562,4374,2965,1844,2670,1078,51.98,1
1,1,97,86476,69449,8182,4971,4613,1678,4563,751,50.89,1
1,1,98,85143,62288,6029,6252,4999,1856,3912,1100,54.53,1
1,1,99,77640,56387,5423,5320,5150,1641,4512,1021,60.25,1
1,1,100,90878,45838,5090,3949,3057,1312,4311,844,57.22,1
1,1,101,90570,49023,6262,3643,4130,1507,3104,1608,54.84,1
1,1,102,91657,57887,6503,3064,4353,3028,3792,858,52.26,1
1,1,103,93042,51727,8270,4043,3210,1697,4807,804,56.06,1
1,1,104,87946,56420,6182,4670,4350,1294,4279,872,58.33,1
1,1,105,6839,9548,5421,1561,5601,2087,2104,1251,54.16,1
1,1,106,5642,7913,6751,1212,5187,1553,2441,1037,58.35,1
1,1,107,6777,9436,5538,2258,4217,1826,2983,1180,51.3,1
1,1,108,7096,10481,4638,884,6101,1539,2522,1737,53.56,1
1,1,109,5676,12954,4957,2468,5618,1885,2980,1247,56.32,1
1,1,110,7018,10665,6165,1732,3507,2622,2467,1691,50.85,1
1,1,111,6709,5877,5495,1735,5526,1315,1908,1118,61.69,1
1,1,112,9856,10470,4695,1545,5875,1932,2248,1130,57.79,1
1,1,113,7340,7266,6338,590,4886,1317,1658,909,56.41,1
1,1,114,9632,8856,4854,1201,5698,2103,2058,1174,49.54,1
1,1,115,7296,9772,4734,841,5539,1924,2477,1319,50.93,1
1,1,116,9103,11576,5761,883,5859,1741,3107,1164,57.08,1
1,1,117,6277,9993,5625,2166,7490,1708,1715,837,55.75,1
1,1,118,8496,9739,5243,1790,7955,1696,1660,1105,55.97,1
1,1,119,6972,5785,5745,1986,7487,3656,1427,1206,52.93,1
1,1,120,5371,8510,6176,2402,5480,2585,1743,1294,55.22,1
1,1,121,6424,9208,6275,1157,5809,2416,1887,939,62.16,1
1,1,122,6162,10132,5982,1701,4105,3037,2388,1375,56.98,1
1,1,123,6977,6335,4797,1000,6986,1804,1714,1270,52.14,1
1,1,124,7297,8435,7820,1838,5614,1293,2085,1221,51.02,1
1,1,125,6959,6045,8097,1306,4067,1298,2587,1209,54.18,1
1,1,126,6816,8006,5580,1260,5645,1978,1229,1411,56.4,1
1,1,127,4764,12879,5361,1356,4505,1708,1188,1578,53.98,1
1,1,128,5618,8571,4754,676,4070,2265,1958,1191,56.32,1
1,1,129,5903,8352,4467,2147,5276,3021,1434,1741,50.57,1
1,1,130,5074,12091,7054,1757,5113,1502,2564,1416,51.93,1
1,1,131,7594,28564,4092,4900,1937,2929,1596,1207,44.16,1
1,1,132,6593,24213,4064,6261,1025,2243,1070,1327,47.72,1
1,1,133,7955,30383,4138,4116,1684,2415,1486,1434,43.95,1
1,1,134,12674,27370,4995,5539,2700,1820,1761,940,40.53,1
1,1,135,4195,25066,4673,4580,3456,3080,887,1097,49.33,1
1,1,136,9299,25993,4749,5400,2867,3342,1187,1233,45.03,1
1,1,137,7245,28019,4855,5123,1830,2769,1047,1398,44.33,1
1,1,138,4599,28647,3994,4759,2310,2528,1135,1730,40.9,1
1,1,139,7915,29418,5728,5216,1538,3565,1468,1087,44.48,1
1,1,140,10283,30975,4562,3534,2890,2448,1722,1336,41.59,1
1,1,141,7893,33318,4290,4140,2306,4115,2797,819,44.59,1
1,1,142,6536,23563,3761,4700,2056,1928,1272,1000,45.25,1
1,1,143,4740,30408,4353,6121,2477,3405,1334,1253,46.24,1
1,1,144,7999,31535,5353,5208,2880,2640,1231,1386,47.33,1
1,1,145,8081,22675,4961,4361,2227,1541,1355,1358,43.24,1
1,1,146,5320,23688,3320,5623,2143,2216,1208,906,43.15,1
1,1,147,9472,35963,4283,4349,1544,3506,2327,1300,42.04,1
1,1,148,9204,25755,3716,6100,2744,3884,1386,1307,44.6,1
1,1,149,9049,28356,2761,4535,1649,4247,1561,1206,49.32,1
1,1,150,7811,22877,3466,6753,974,2129,1145,890,45,1
1,1,151,6111,35419,3774,3646,3399,2139,1796,1242,44.36,1
1,1,152,7417,28561,4291,4826,1475,1625,1624,1535,43.51,1
1,1,153,7219,39179,4007,5298,2024,3308,1710,1170,41.7,1
1,1,154,4132,19776,4493,5645,900,2902,928,1573,43.77,1
1,1,155,10065,24547,4342,6824,1873,3258,1714,1177,48.13,1
1,1,156,8909,25022,4893,4849,2658,3256,1524,1067,50.37,1
1,1,157,4311,9219,11530,2294,3633,2111,899,803,44.16,1
1,1,158,3649,11132,12211,2459,3088,1456,655,690,44.24,1
1,1,159,1954,8536,13533,3370,3630,2695,1064,575,41.07,1
1,1,160,5970,9151,12179,2990,3299,2447,980,776,47.22,1
1,1,161,4085,7386,9468,1660,4150,1673,1181,621,45.12,1
1,1,162,5458,10339,9573,3198,2336,1823,635,767,45.62,1
1,1,163,4405,9112,9510,2457,4164,2498,590,1190,44.13,1
1,1,164,4897,10847,11075,2202,2984,2126,614,1032,46.46,1
1,1,165,3776,10001,13900,1922,3349,2286,972,731,48.43,1
1,1,166,5021,6758,11051,1681,3023,1514,1046,959,42.64,1
1,1,167,962,6756,12144,2582,4870,2193,2056,486,46.95,1
1,1,168,5959,10198,13903,1949,4757,1800,589,773,40.87,1
1,1,169,3936,10146,12127,1395,4189,2785,1192,647,40.13,1
1,1,170,4264,8914,9680,1926,3391,1969,588,889,42.42,1
1,1,171,2495,8053,10836,3344,3335,1689,1037,810,41.7,1
1,1,172,4930,7263,9823,1671,5510,1862,972,831,42.45,1
1,1,173,2534,6335,13657,1852,5442,2710,895,607,47.07,1
1,1,174,4055,13769,13584,2193,4970,2110,402,854,41.54,1
1,1,175,4294,7273,12989,3808,4062,2133,780,618,46.52,1
1,1,176,5133,9466,11077,2302,3074,2128,819,650,46.53,1
1,1,177,5945,9559,12523,2669,3591,1835,927,914,47.68,1
1,1,178,3082,6542,10885,1952,3461,2670,1167,737,44,1
1,1,179,2527,11335,11489,3009,4317,2054,917,842,42.11,1
1,1,180,3767,7614,12749,1970,3847,2375,1252,753,42.71,1
1,1,181,7228,10509,13726,2358,4615,1503,582,894,47.16,1
1,1,182,4644,6520,12146,3394,3974,2594,608,790,41.77,1
1,1,183,4743,8228,3763,1749,4081,1368,1353,630,44.16,1
1,1,184,8302,7566,4101,1804,4691,966,876,631,42.07,1
1,1,185,7254,9116,4587,2180,5278,1148,1090,719,46.03,1
1,1,186,3668,10096,4830,1953,4131,1162,1123,510,46.15,1
1,1,187,4902,7888,2551,1352,4693,1453,1767,523,44.04,1
1,1,188,4029,8252,3462,2173,4654,1176,929,593,44.84,1
1,1,189,5041,7047,3847,1773,3898,2548,681,572,46.58,1
1,1,190,5397,6432,3705,2618,7230,1787,824,633,45.09,1
1,1,191,4833,8316,3543,1939,5611,925,877,1081,42.44,1
1,1,192,6219,6616,5216,849,3830,2133,1044,570,45.03,1
1,1,193,5740,8421,3300,1142,6877,1440,1028,443,43.89,1
1,1,194,5447,9085,4358,2851,4321,1562,1354,680,46.51,1
1,1,195,3962,7284,2925,2913,4260,1359,1576,643,42.39,1
1,1,196,5703,8182,2860,2151,4886,1278,1210,514,42.53,1
1,1,197,6288,9307,4946,1701,3390,865,831,972,47.25,1
1,1,198,5517,7594,3579,2155,3139,2397,1143,778,46.25,1
1,1,199,5540,7528,3532,1689,6613,1879,1080,933,43.46,1
1,1,200,6267,6186,4706,1869,4304,1899,1146,638,43.19,1
1,1,201,5927,7549,4567,1805,5154,1105,1275,548,39.31,1
1,1,202,5870,5992,4800,705,4453,1763,1096,455,46.19,1
1,1,203,4458,9947,3227,1617,4347,2384,1437,997,44.08,1
1,1,204,5094,8708,2280,2232,5561,1406,1084,1016,41.13,1
1,1,205,3684,8254,4390,1463,1778,2643,1050,481,44.43,1
1,1,206,2117,8685,2334,2099,4049,1881,1502,532,48.14,1
1,1,207,5658,9563,4555,1067,2985,2005,906,1003,45.68,1
1,1,208,8857,5763,4099,1326,6154,1531,1194,482,44.18,1
1,1,209,56840,41551,13165,6254,21556,16061,7953,2832,65.83,1
1,1,210,67357,52586,12332,6964,24312,16916,7869,2943,63.81,1
1,1,211,69866,39998,13920,7294,21307,17752,8481,2249,63.6,1
1,1,212,58110,54255,10916,7519,21214,19036,9336,2957,70.98,1
1,1,213,52593,48176,13714,5566,23742,16994,7187,2510,67.34,1
1,1,214,46585,43647,12270,7555,18613,13616,9438,2980,62.72,1
1,1,215,65929,38628,13866,7281,20835,18194,9124,2958,65,1
1,1,216,50430,29488,14456,5511,19934,15679,7198,3008,68.36,1
1,1,217,55748,41381,12844,5603,20575,17739,8920,3439,60.84,1
1,1,218,57486,45159,15767,6307,22861,15434,7124,3556,69.95,1
1,1,219,45338,41172,9986,5713,21532,15734,9064,2784,66.07,1
1,1,220,64831,52907,13836,6075,18270,14517,7153,2451,58.62,1
1,1,221,52385,32198,12225,6840,21851,17115,7629,3064,69.21,1
1,1,222,50730,49413,12797,5339,25133,14378,6285,2983,64.37,1
1,1,223,53768,50443,10989,8671,21265,14858,6806,3158,67.82,1
1,1,224,54337,37693,14801,3797,24959,14321,8822,3091,66,1
1,1,225,56318,44280,10658,6798,23725,14730,7795,3078,68.71,1
1,1,226,59705,35417,14510,6125,20390,14922,7697,2595,64.63,1
1,1,227,61429,39365,12198,7032,19425,17036,7480,2944,60.38,1
1,1,228,61759,37619,12750,5733,20660,16958,7509,3265,68.36,1
1,1,229,49164,47381,16942,6395,18575,19544,6504,3785,64,1
1,1,230,56442,39985,16090,6270,19173,15820,7342,2850,63.71,1
1,1,231,61364,42750,12131,5770,22582,12717,7572,3083,64.48,1
1,1,232,57255,37897,14226,5404,19444,13230,7130,3420,65.13,1
1,1,233,53620,39263,12956,6134,25761,14616,8003,2125,66.23,1
1,1,234,56571,41653,11740,6945,22337,15211,6212,3718,70.43,1
1,1,235,417802,29738,7138,3694,2126,493,383,236,65.83,1
1,1,236,419890,33125,6948,1988,2643,736,365,229,61.51,1
1,1,237,432869,33317,8190,2398,1902,758,458,219,61.77,1
1,1,238,416060,26898,8056,2256,2429,608,564,210,64.99,1
1,1,239,435335,22482,8674,3890,2133,1035,316,203,63.62,1
1,1,240,408032,34100,6980,3739,3303,232,427,268,57.94,1
1,1,241,422440,22588,7386,4148,1735,408,341,205,65.27,1
1,1,242,400388,26357,8103,3912,4061,431,487,195,68.84,1
1,1,243,408416,25847,8201,4787,3347,85,470,228,64.11,1
1,1,244,438524,29452,7457,3672,1430,643,433,225,66.66,1
1,1,245,420262,36349,5859,3547,2633,709,411,265,68.05,1
1,1,246,415591,33059,6806,4393,2540,687,400,272,67.6,1
1,1,247,421282,26929,5443,3814,2610,488,318,158,68.63,1
1,1,248,417483,29462,8959,3418,2048,408,702,243,65.74,1
1,1,249,436452,35274,8640,3928,1840,364,281,367,70.4,1
1,1,250,423344,27757,6680,4275,2473,156,81,448,62.21,1
1,1,251,416837,27974,5620,3099,2074,329,418,338,68,1
1,1,252,406180,28854,7320,3061,2473,868,735,263,65.04,1
1,1,253,429488,24544,8576,3135,2105,284,363,264,69.61,1
1,1,254,434950,31681,8441,2748,1526,495,570,240,65.15,1
1,1,255,418547,26191,7480,3957,2259,377,427,317,67.96,1
1,1,256,394967,31092,7811,4040,2028,490,12,210,65.83,1
1,1,257,427310,25967,6034,3416,2722,433,68,160,64.05,1
1,1,258,407961,25981,7359,2987,1765,250,371,303,65.02,1
1,1,259,432176,32339,6965,3094,2052,488,393,251,63.11,1
1,1,260,422068,29428,8567,3724,1405,725,285,372,67.45,1
1,1,261,13727,9802,5098,8104,5411,4205,1237,2147,65.83,1
1,1,262,12125,7533,4420,7841,4630,3815,1259,2128,62.8,1
1,1,263,14350,9357,6619,7607,5120,6265,1234,2116,65.04,1
1,1,264,15956,9902,5554,8195,4699,3115,1405,1719,64.22,1
1,1,265,13258,10499,5286,8466,3447,4342,809,1997,66.26,1
1,1,266,14635,10242,4071,8779,4335,4016,1075,2297,69.86,1
1,1,267,8342,8493,3691,7134,3456,3926,1001,1662,69.05,1
1,1,268,13211,7208,3680,7905,7821,3740,1486,2179,64.02,1
1,1,269,10608,9921,5756,9979,5993,4624,921,1381,67.11,1
1,1,270,16615,8941,5569,8022,6211,3361,1057,1889,66.2,1
1,1,271,10486,8277,6568,7174,4630,4469,1596,2519,59.81,1
1,1,272,12255,9956,4703,7012,5743,3270,1673,2495,63.05,1
1,1,273,14955,9947,6690,6484,4508,4268,1539,2309,71.04,1
1,1,274,15415,8213,5016,9387,4850,3902,1159,2129,66.45,1
1,1,275,15389,8868,5690,9012,3342,4668,858,2308,61.84,1
1,1,276,15104,10179,4092,6377,5494,3460,1735,2113,62.16,1
1,1,277,15262,9195,4403,8938,5193,4285,1896,1673,68.67,1
1,1,278,15792,8140,6048,7282,6917,5130,1968,2460,65.1,1
1,1,279,12393,11518,6927,6934,5070,3608,1485,2102,68.74,1
1,1,280,16595,12239,5873,7522,7755,3239,2028,2089,66.15,1
1,1,281,9980,9950,4273,9816,4495,3144,1312,2377,67.91,1
1,1,282,14336,10826,4842,5304,6464,4696,910,2110,60.33,1
1,1,283,18210,13271,6931,7084,5648,4074,1486,2651,68.71,1
1,1,284,14105,10529,5938,9777,5906,4223,923,2131,66.58,1
1,1,285,13078,5227,4594,8531,4268,3985,814,1921,65.91,1
1,1,286,14494,9099,4884,9822,6117,3806,1563,2044,69.45,1
1,1,287,23938,12242,5119,3332,7948,4772,1708,968,41.23,1
1,1,288,21569,9570,3998,3179,9735,5191,1788,1008,38.66,1
1,1,289,23710,12039,5247,2546,11321,6211,2228,1246,39.44,1
1,1,290,25083,11844,4100,3775,8193,3637,1509,1416,43.68,1
1,1,291,22361,13382,4222,3660,9051,3977,2384,1384,37.18,1
1,1,292,25652,12707,6300,2929,7737,5521,2972,1058,39.86,1
1,1,293,26734,9882,4188,2405,7292,5272,2141,1437,41.79,1
1,1,294,21396,13624,6648,3759,9233,3773,1246,602,44.57,1
1,1,295,27567,13664,6953,3690,7836,3564,973,776,39.69,1
1,1,296,22278,9120,4777,4294,7086,4042,1106,895,43.2,1
1,1,297,22824,12785,4698,2957,10245,4755,1986,643,41.42,1
1,1,298,24053,15523,6126,3850,10419,5037,1162,1054,39.15,1
1,1,299,25111,11945,4635,3670,7220,4469,1723,843,46.62,1
1,1,300,27162,9706,5087,3095,9515,5323,1384,886,38.18,1
1,1,301,29217,8061,5019,2372,9838,5331,1131,887,41.92,1
1,1,302,25225,11588,3333,2802,6187,5521,2659,876,40.83,1
1,1,303,26443,13432,4545,3790,6281,5498,1719,1280,41.74,1
1,1,304,27339,19249,6956,3499,7599,5013,1425,676,40.29,1
1,1,305,26236,9964,4190,3716,7777,4963,1910,1089,40.07,1
1,1,306,25986,15463,4518,3400,7814,6131,1950,690,37.71,1
1,1,307,22755,12978,7666,2927,7647,5314,1170,969,38.86,1
1,1,308,25811,8962,6142,2372,9160,4777,1686,1015,40.3,1
1,1,309,21632,13064,4801,3007,8427,4689,1783,1479,43.61,1
1,1,310,24709,11743,4465,3892,4831,4921,2237,849,40.32,1
1,1,311,22070,12953,5493,3594,7619,5211,1994,1132,43.32,1
2,1,1,13295,12896,2669,7723,8250,2403,1997,1156,44.76,1
2,1,2,17977,18367,3314,8171,6782,3004,1488,754,44.34,1
2,1,3,19940,12384,3646,7212,10868,2025,2066,1057,43.3,1
2,1,4,17497,10286,1306,7886,8103,1546,2127,970,42.04,1
2,1,5,17278,16097,3087,6865,11216,2640,2272,1155,45.62,1
2,1,6,20683,17449,3439,9821,7310,2939,1424,1022,38.19,1
2,1,7,15843,10634,2311,7043,10134,2600,1292,1452,42.36,1
2,1,8,21572,16281,2746,7988,9992,2751,2456,1301,44.04,1
2,1,9,19647,13389,2004,8063,8952,2164,1746,1155,43.36,1
2,1,10,16164,13586,2293,7081,11070,2758,2378,954,43.96,1
2,1,11,18443,10626,3882,8896,10781,2976,2248,924,42.74,1
2,1,12,14925,11317,1272,6013,9521,3924,1868,1309,43.26,1
2,1,13,21172,9976,3375,4342,8325,2195,2360,1146,43.6,1
2,1,14,20867,17281,1705,7975,9693,3766,2128,1214,39.64,1
2,1,15,17473,15548,2223,8050,12593,2965,1872,1025,40.65,1
2,1,16,18000,20161,1411,6309,7634,2246,2511,1034,37.38,1
2,1,17,17199,16570,3086,7478,11284,3086,2031,1533,41.84,1
2,1,18,18385,15340,3362,7504,7758,2671,1677,1152,38.76,1
2,1,19,18436,14513,2028,7421,7608,2347,1753,896,41.67,1
2,1,20,18034,19761,3946,6998,8729,2605,1937,1102,40.49,1
2,1,21,19994,12942,2802,7085,9538,2623,2046,1259,43.24,1
2,1,22,15336,22553,1887,6939,9472,3277,1513,1211,43.49,1
2,1,23,20849,15912,2288,8100,8548,1948,2008,916,40.8,1
2,1,24,9710,17062,4946,7366,11280,2819,2084,1181,22.36,1
2,1,25,12462,18764,4677,6582,9986,2801,1568,1116,18.3,1
2,1,26,12312,15516,4770,6515,14282,3218,1663,1240,25.72,1
2,1,27,10390,10655,5300,8422,13702,3203,1589,965,17.96,1
2,1,28,12324,17123,5353,6770,9056,3586,1722,1401,23.1,1
2,1,29,9029,18454,4953,7373,12694,2528,1971,1271,17.47,1
2,1,30,9541,18204,4003,7690,9871,2275,2383,1221,21.78,1
2,1,31,7020,17999,4006,8902,8266,2498,2928,952,23.81,1
2,1,32,12046,14897,5298,9124,10749,3733,3026,1159,23.77,1
2,1,33,11620,21124,6192,6133,9462,2087,1269,898,19.43,1
2,1,34,14467,19779,5344,8086,11067,2577,2498,1271,23.17,1
2,1,35,9599,19544,7365,7661,12221,2409,2443,819,24.29,1
2,1,36,8901,19194,4788,6633,8343,3101,2387,1170,23.19,1
2,1,37,10625,18651,4749,8900,10748,3548,2294,1297,19.94,1
2,1,38,10822,13979,5107,7973,15039,3908,2814,1402,26.57,1
2,1,39,8618,20985,5936,6105,12401,2780,1413,1176,24.1,1
2,1,40,8072,15743,4395,6519,10144,3955,1145,1318,25.53,1
2,1,41,11060,19660,6205,7259,10223,3184,1660,1057,22.15,1
2,1,42,7283,21439,5667,6272,12521,3175,2110,1196,24.08,1
2,1,43,9162,16132,3999,8202,9219,2121,1669,1285,20.14,1
2,1,44,12097,16600,3474,7220,13255,2722,2379,1360,26.57,1
2,1,45,10330,16430,3799,8807,10125,2169,3449,1294,22.86,1
2,1,46,9192,20870,5981,8236,10527,2654,1803,1365,21.81,1
2,1,47,11159,15752,5083,7322,13473,2647,1358,1260,22.54,1
2,1,48,8819,21471,4690,6535,9061,3305,2436,1351,23.69,1
2,1,49,10083,15404,5385,6539,11653,3555,1298,1312,25.37,1
2,1,50,112475,53465,8658,5216,8080,2525,2507,1142,22.36,1
2,1,51,108744,53185,11340,4589,10693,2468,2226,1334,27.01,1
2,1,52,92684,59380,8497,3940,9790,2778,2867,1186,18.63,1
2,1,53,116649,63463,10126,3888,6653,2461,3793,1002,15.08,1
2,1,54,102277,49600,9231,8069,9636,3381,2265,1456,24.34,1
2,1,55,105056,51532,9060,5204,5455,3037,2039,1178,21.94,1
2,1,56,99769,48528,8836,5308,9333,2063,1328,1006,22.37,1
2,1,57,108026,60753,8845,4499,10401,3027,1359,1015,18.67,1
2,1,58,131461,43200,6799,6370,10127,2651,2262,1331,23.68,1
2,1,59,104807,59946,9124,5379,8606,2464,3114,866,21.67,1
2,1,60,108303,57361,8131,4606,8534,2796,2612,1335,26.16,1
2,1,61,106780,46123,7978,4959,8681,2805,2786,986,19.3,1
2,1,62,101323,48123,9914,4269,6823,3558,1479,811,18.85,1
2,1,63,111199,49503,8841,4549,7390,3166,2641,962,26.16,1
2,1,64,114266,58761,9953,6708,7887,2924,2248,1236,19.51,1
2,1,65,100585,49467,6699,5248,9823,3156,2636,1548,22.8,1
2,1,66,107624,41292,8753,5654,9270,1774,2184,932,18.93,1
2,1,67,126313,56937,8219,4147,5689,3135,2965,1426,20.33,1
2,1,68,117871,54885,11516,4612,7247,3089,2315,1204,24.13,1
2,1,69,117908,57088,6762,4745,5980,4072,1882,1430,16.39,1
2,1,70,96432,54043,9288,5090,7801,2100,2749,1243,26.64,1
2,1,71,110040,52374,8672,6449,7260,2296,3022,1243,19.51,1
2,1,72,112174,59507,9279,6075,7848,2348,3304,1458,20.74,1
2,1,73,108059,53124,10611,6278,7859,2265,2131,1174,23.87,1
2,1,74,109918,53043,8667,5531,7439,3507,2721,1404,20.23,1
2,1,75,114012,45318,11234,5324,14888,2486,1996,981,26.16,1
2,1,76,9073,7880,3722,6329,2452,2459,2479,998,22.36,1
2,1,77,6781,8823,3858,7323,2507,2705,2010,1188,14.08,1
2,1,78,8942,11506,5012,7515,4531,2252,1894,606,21.3,1
2,1,79,10502,7947,3470,5522,1633,2362,2624,921,21.82,1
2,1,80,11156,11214,2947,5506,2979,1381,2219,1261,19.55,1
