ParticipantId,TrialId,N,Delta,Theta,LowAlpha,HighAlpha,LowBeta,HighBeta,LowGamma,MiddleGamma,HRV,Level
1,2,62,4002,30685,1210,6878,8303,2696,719,1610,31.09,0
1,2,63,4619,27893,1124,7425,6635,3186,993,1390,33.59,0
1,2,64,4493,29158,922,7111,7039,2842,546,1528,31.89,0
1,2,65,4709,35992,10988,16518,10546,4077,1290,613,30.82,0
1,2,66,7537,31735,10079,15852,9965,3212,1206,700,29.45,0
1,2,67,5683,40790,10022,16868,10659,3906,1074,679,30.4,0
1,2,68,7008,42203,13146,14064,11046,4310,1659,674,31.31,0
1,2,69,5892,38903,12164,15832,10866,4677,1192,729,33.37,0
1,2,70,7427,32142,12729,16174,10633,3502,1411,488,33.6,0
1,2,71,4122,38338,9762,15949,10374,4435,877,762,29.25,0
1,2,72,6624,36934,10329,16666,9925,4095,1173,614,30.2,0
1,2,73,3366,30812,11309,17874,9485,4851,1440,718,28.87,0
1,2,74,3118,34198,10702,18551,12860,4291,1792,569,31.03,0
1,2,75,19664,57039,4647,8680,6752,6094,5113,1828,31.04,0
1,2,76,19787,53869,4137,5399,7078,5782,5265,2062,31.77,0
1,2,77,22853,52440,4833,8645,5961,6655,5373,1502,29.04,0
1,2,78,21946,61980,4331,8832,6690,7259,4700,1936,32.28,0
1,2,79,19462,50785,5321,8529,5909,6160,4714,1923,30.76,0
1,2,80,21451,55491,5249,9555,8201,6511,5609,2061,31.24,0
1,2,81,23132,57574,4681,8576,7574,6372,4564,1522,29.95,0
1,2,82,19562,53714,5318,8752,6911,5022,4655,1842,30.26,0
1,2,83,22583,52959,4842,7550,6992,5965,4747,1681,29.98,0
1,2,84,20337,62719,4673,7546,5567,7089,5458,2111,30.99,0
1,2,85,17809,41830,3262,11456,6576,2669,1311,1146,30.76,0
1,2,86,14911,41146,3374,11687,6240,1986,842,991,32.09,0
1,2,87,20891,37468,4351,11171,8753,2475,1285,1150,27.67,0
1,2,88,18044,42978,3426,12313,8342,2574,1034,1222,28.77,0
1,2,89,15171,43047,3571,12970,6840,2475,1658,1124,29.46,0
2,1,1,16446,38834,3560,10480,7379,2581,1094,981,32.07,0
2,1,2,17505,41252,3251,11675,6660,2762,1458,1211,32.24,0
2,1,3,17066,40278,3670,11891,6289,2963,1202,1087,34.22,0
2,1,4,18112,40909,3384,11810,4967,1972,1286,1299,27.66,0
2,1,5,19034,37659,2804,11218,6041,3232,1482,1240,30.73,0
2,1,6,15798,4581,4038,5375,8598,2820,3424,2328,30.98,0
2,1,7,14812,4408,5732,5256,8435,3052,3347,2370,30.89,0
2,1,8,19171,3318,4716,5212,9733,2527,3707,2042,33.22,0
2,1,9,14583,5519,4169,6603,8653,3265,3358,2438,32.74,0
2,1,10,16515,5425,4614,4176,8640,2867,3826,2385,31.57,0
2,1,11,13361,4540,3353,5476,10003,3483,3481,2153,28.99,0
2,1,12,20253,4112,3738,4837,8723,2766,3081,2264,34.18,0
2,1,13,12694,4547,4290,5260,9483,3222,3272,2403,32.11,0
2,1,14,17028,4652,4299,5736,6929,3039,3672,2069,28.7,0
2,1,15,12520,2785,5185,5611,9078,2293,3207,2670,34.73,0
2,1,16,15505,5779,5807,2373,6329,3387,2861,698,30.81,0
2,1,17,13956,5087,5663,1813,6772,4078,2869,567,30.46,0
2,1,18,13651,5997,6505,1664,6130,3288,2830,688,29.76,0
2,1,19,18269,4918,6115,2738,5786,3838,3832,689,30.27,0
2,1,20,15108,8147,6800,3162,5731,3400,3247,557,29.52,0
2,1,21,17902,6357,5576,1788,6941,2845,2664,727,31.95,0
2,1,22,18240,6463,5895,2847,6276,3107,3322,796,30.66,0
2,1,23,14485,3816,6336,2151,6012,3144,2946,780,30.18,0
2,1,24,15333,5246,5702,2975,5954,4425,2856,772,30.64,0
2,1,25,16502,8176,5450,2476,5452,3343,2350,713,30.78,0
2,1,26,16702,44422,4187,11687,5056,1800,1068,1167,30.52,0
2,1,27,17403,41212,3885,11783,4244,2430,1212,1169,29.35,0
2,1,28,18901,44532,3775,12323,4903,1850,1293,1322,27.42,0
2,1,29,18989,42821,4332,11967,3490,1459,1100,1165,26.69,0
2,1,30,15494,43798,4677,13782,4672,1574,1444,1160,27.79,0
2,1,31,14749,46335,4402,13981,5326,1373,1559,1174,27.2,0
2,1,32,13144,39796,4661,10766,4577,2295,1135,1140,28.9,0
2,1,33,13347,43125,4456,11434,5739,1942,1127,1544,30.5,0
2,1,34,16822,41117,3006,12476,5255,2121,986,1110,24.64,0
2,1,35,14627,41759,4952,10445,4105,1714,1593,989,31.28,0
2,1,36,8846,9598,9219,34769,7872,2837,1402,1618,30.52,0
2,1,37,10242,10168,8118,34551,10569,2892,1260,1304,29.47,0
2,1,38,9023,9656,8676,35536,8951,2681,1257,1514,28.86,0
2,1,39,8705,9330,9009,34096,9310,2576,1702,1743,29.19,0
2,1,40,6515,10139,9576,34441,6773,2948,1470,1552,32.64,0
2,1,41,6238,7921,8615,32266,8449,2305,1366,1587,32.61,0
2,1,42,8252,10036,9792,35901,7602,2604,1315,1366,28.06,0
2,1,43,8570,9126,9591,31806,8809,2643,1469,1910,30.17,0
2,1,44,7798,13611,8640,38218,8173,3240,1582,1547,28.79,0
2,1,45,7205,10457,8714,33374,7357,2022,1338,1618,32.2,0
2,1,46,28740,30099,778,6228,5210,2763,1540,750,30.24,0
2,1,47,27731,30792,1033,6367,5308,3312,2047,827,31.11,0
2,1,48,29513,33477,644,5809,4516,2609,1558,631,33.46,0
2,1,49,27302,30537,694,6039,5737,3074,1332,757,31.88,0
2,1,50,30235,27318,1020,6858,6094,1994,1667,929,34.09,0
2,1,51,31749,29301,778,6230,4454,2766,1595,592,29.49,0
2,1,52,26067,31213,478,6804,5119,2965,2160,793,32.64,0
2,1,53,27570,29119,565,5838,4864,2876,1467,774,29.89,0
2,1,54,27730,30199,512,5285,4661,2452,1605,710,32.52,0
2,1,55,33089,27019,606,6174,4302,3255,1678,894,30.19,0
2,1,56,18491,18249,1351,8580,15115,3102,1196,569,30,0
2,1,57,17201,22107,916,9389,16742,3549,1269,507,30.09,0
2,1,58,17811,16369,1242,8217,15592,3338,1165,507,29.55,0
2,1,59,20144,18292,871,7727,13535,3272,1193,551,30.34,0
2,1,60,14818,18956,1300,10812,14274,4447,1127,540,30.42,0
2,1,61,15998,21080,2358,8069,14785,2881,882,459,27.69,0
2,1,62,16371,16712,1439,9187,14794,3394,1290,468,33.35,0
2,1,63,18164,21037,1328,7846,14187,2783,1357,418,28.77,0
2,1,64,18317,18401,1271,8860,16495,3170,1247,471,30.43,0
2,1,65,19500,16200,1212,8203,15471,3314,891,527,26.08,0
2,1,66,10801,10308,2155,12571,7003,3584,4824,766,29.62,0
2,1,67,9563,12087,1147,10602,6371,3289,4618,680,31.99,0
2,1,68,11816,10116,2446,11904,8152,3652,4596,715,27.06,0
2,1,69,10139,11249,2624,12531,7408,2963,4903,942,27.37,0
2,1,70,8441,10703,1620,13408,7175,3424,5088,932,29.55,0
2,1,71,9936,9955,1991,12215,7825,4167,4955,640,29.25,0
2,1,72,13013,9860,2408,14289,8183,4242,4235,649,29.99,0
2,1,73,8034,9341,1802,11612,7803,3302,4634,849,29.9,0
2,1,74,10368,10584,2554,12125,6226,3659,5368,895,30.34,0
2,1,75,11228,11659,1617,14211,7960,3181,5005,901,28.33,0
2,1,76,20021,13425,1671,9072,6777,7067,1236,1451,29.83,0
2,1,77,24286,12590,1978,10210,6296,7150,1152,1337,32.81,0
2,1,78,22507,13928,1287,11163,6997,8557,1249,1334,26.26,0
2,1,79,21150,15186,1616,9324,6168,6335,1272,1429,29.7,0
2,1,80,21068,11180,1498,8944,6802,7115,761,1486,29.39,0
2,1,81,19441,12884,1857,9179,7202,6727,1405,1011,29.05,0
2,1,82,19427,14183,1625,8826,6545,6614,1107,1481,27.76,0
2,1,83,18500,11506,1600,10086,6485,6158,1174,1306,26.77,0
2,1,84,20218,13203,1752,8481,6457,5781,1201,1180,27.16,0
2,1,85,18552,14423,1247,8638,6586,6248,1484,1444,28.44,0
2,1,86,17239,11578,816,2110,2954,2540,4770,1493,29.69,0
2,1,87,18064,13390,808,1836,2523,2033,4672,1437,28.93,0
2,1,88,15145,10650,408,2776,2809,2716,4304,1648,28.3,0
2,1,89,16102,15516,992,1904,3231,2513,4693,1343,28.1,0
2,2,1,13403,13218,499,1345,3001,2027,4782,1424,28.54,0
2,2,2,15978,9105,902,2776,2369,2941,5372,1790,28.82,0
2,2,3,19445,11914,956,1577,2535,2904,4654,1328,29.36,0
2,2,4,19374,9978,1023,1675,2926,2453,3901,1335,33.46,0
2,2,5,14199,10623,1108,2220,2510,2676,4933,1631,31.12,0
2,2,6,19471,10797,592,2533,2549,2074,5018,1510,27.95,0
2,2,7,16157,15442,4230,7428,4582,2481,1312,1346,30.14,0
2,2,8,19884,15672,4065,7325,3868,2601,1293,1338,27.91,0
2,2,9,18028,14608,3550,7867,4613,2556,1146,1197,33.41,0
2,2,10,18948,13459,4387,6997,5027,2732,1434,1337,30.02,0
2,2,11,14412,19005,3890,8296,5258,2837,1462,1279,34.23,0
2,2,12,12731,18655,5116,8419,4339,3055,1403,1133,30.44,0
2,2,13,17132,16622,5180,7390,3893,2350,1330,1523,29.55,0
2,2,14,21256,15772,4912,7909,4634,2487,1572,1411,30.06,0
2,2,15,15241,15863,5364,6646,5657,2720,1351,1513,29.53,0
2,2,16,16177,16246,4622,8204,5359,2725,1669,1196,26.73,0
2,2,17,26803,48057,443,7825,5347,1326,1646,1944,29.68,0
2,2,18,26801,42320,356,8553,5663,1693,1863,1944,28.16,0
2,2,19,22021,45624,284,9583,3912,1496,1553,1900,31.2,0
2,2,20,27838,48029,647,8355,5373,1424,1744,2155,27.54,0
2,2,21,27870,49911,741,7253,4980,1439,1533,2128,29.94,0
2,2,22,29769,45799,670,7218,4127,1411,1200,1831,31.8,0
2,2,23,25043,45736,403,8445,6011,1517,1691,2035,27.91,0
2,2,24,26575,48824,546,8055,5095,1220,1292,1866,31.54,0
2,2,25,33024,52753,292,6596,5667,1392,1618,1954,31.03,0
2,2,26,30869,42968,297,7938,6089,1532,1637,1886,30.06,0
2,2,27,8434,9616,10579,3286,5054,3622,1178,1154,29.13,0
2,2,28,7452,9371,10653,3431,5122,3938,831,1291,33.38,0
2,2,29,6074,7861,11204,2666,5193,3311,1159,1128,27.64,0
2,2,30,8904,11556,10561,2974,4935,3162,931,1295,29.43,0
2,2,31,8877,12331,11144,2624,5136,3389,988,1268,29.34,0
2,2,32,10620,13199,10627,2864,4068,3107,1297,937,28.65,0
2,2,33,11100,9124,10531,3120,4452,4239,1359,1172,28.44,0
2,2,34,10741,11747,10621,3502,5676,3310,1137,1174,30.62,0
2,2,35,9259,10765,10851,3330,5665,3433,1086,1077,29.8,0
2,2,36,8666,8691,11585,2392,5009,4189,1141,1046,29.34,0
2,2,37,16146,22969,10569,10341,4012,2193,3072,1114,28.94,0
2,2,38,17873,22715,9218,9415,4314,2005,2656,1171,32.1,0
2,2,39,14466,24828,10339,9265,4438,2135,3092,827,30.05,0
2,2,40,13803,17677,11077,11331,4780,2161,3414,1057,31.19,0
2,2,41,16339,23984,11245,9039,4260,3190,3404,956,31.46,0
2,2,42,18404,22257,10702,9625,3153,2013,2831,1106,28.56,0
2,2,43,12203,24575,9939,8186,4189,2158,3028,994,27.82,0
2,2,44,17085,27111,10362,11819,3810,2215,2927,1246,25.89,0
2,2,45,19540,21043,10992,8860,3121,2633,3264,1032,30.03,0
2,2,46,16300,23480,10113,11237,4408,2168,3111,1144,28.65,0
2,2,47,25922,8316,1998,7244,7019,4613,4506,716,28.74,0
2,2,48,32124,6988,2067,6171,8624,5063,4247,592,28.07,0
2,2,49,25238,9247,1647,6271,5938,4500,4452,717,27.71,0
2,2,50,26837,7825,2198,8217,6633,4803,4215,755,25.04,0
2,2,51,21474,9636,2450,8267,8125,3968,4949,697,25.64,0
2,2,52,30049,7460,1929,6357,7886,4844,4201,764,26.68,0
2,2,53,31405,8443,2861,7753,6957,4867,4330,851,28.52,0
2,2,54,30066,6875,2120,7464,7977,4649,4101,614,31.15,0
2,2,55,26543,9401,1829,7451,6486,4990,4155,765,29.11,0
2,2,56,28347,7124,2104,6948,7750,4067,5393,727,31.23,0
2,2,57,15853,9567,2765,7503,5308,3984,2467,1446,29.14,0
2,2,58,15885,11639,3018,7878,5698,4370,2405,1435,26.62,0
2,2,59,14046,8760,3179,6196,5688,4139,2388,1404,28.99,0
2,2,60,18673,5624,2785,5878,4524,4249,2793,1628,26.61,0
2,2,61,16173,14222,2180,7836,5555,4448,2457,1492,29.77,0
2,2,62,14923,9642,2619,7398,6512,3924,2788,1462,30.88,0
2,2,63,14507,12078,2729,7361,5539,4277,2320,1422,29.31,0
2,2,64,17856,9417,1901,8354,4935,3664,2320,1366,28.47,0
2,2,65,15852,9571,2741,9328,5300,3296,2758,1387,27.99,0
2,2,66,13712,13214,2916,8146,4574,4894,2641,1534,29.51,0
2,2,67,16779,8218,4094,8953,11629,3371,2563,1046,29.33,0
2,2,68,17936,7346,4713,7936,11015,3546,3093,842,27.26,0
2,2,69,17054,6476,3636,9265,10953,4568,2498,1041,29.83,0
2,2,70,14630,6764,3799,9827,12918,3056,2883,1006,31.37,0
2,2,71,15045,9578,3581,8747,11899,3709,2057,1069,27.05,0
2,2,72,17125,5789,3589,7337,10246,3093,2400,1010,32.33,0
2,2,73,18794,9936,4065,8031,10444,3668,2205,1001,30.46,0
2,2,74,18384,7448,5740,9118,13433,3618,2596,1021,28.15,0
2,2,75,18135,6808,3903,9102,10967,3058,2474,1087,30.81,0
2,2,76,16648,6436,4531,9572,11632,3478,2742,954,28.98,0
2,2,77,24678,8743,10705,15708,6040,6087,736,1134,29.15,0
2,2,78,25798,8952,11384,16083,5861,5264,629,1142,29.56,0
2,2,79,25538,8027,11339,16213,6719,5878,514,1000,29.6,0
2,2,80,23055,11108,11209,15387,6030,5628,767,1252,27.06,0
2,2,81,25925,6465,11139,18008,5963,6658,670,1161,30.01,0
2,2,82,25539,8405,10823,16448,7170,5526,611,1161,31.08,0
2,2,83,23290,11577,11646,14800,5728,6780,646,1135,30.61,0
2,2,84,21362,11367,9932,13848,6495,5907,839,1268,28.86,0
2,2,85,25823,8805,10354,16777,6424,6449,900,1293,26.36,0
2,2,86,24009,8782,10007,14697,6143,6564,580,1046,29.56,0
2,2,87,16331,30548,1897,1679,5613,2588,2835,754,28.98,0
2,2,88,17179,28861,1539,1056,4797,2804,2909,812,27.65,0
2,2,89,18356,30693,1921,1649,4806,2210,3045,643,26.7,0
3,1,1,15994,29207,1827,1445,6190,3356,2946,846,27.24,0
3,1,2,13396,29683,2226,1071,5538,3178,2708,728,30.83,0
3,1,3,15637,31685,1970,1205,5113,2536,2892,686,28.89,0
3,1,4,20648,34054,2227,1616,4495,2096,2697,755,28.41,0
3,1,5,14704,29696,1863,1250,6295,2459,3083,895,30.22,0
3,1,6,14279,38483,1539,1564,5270,2877,3019,794,30.28,0
3,1,7,17628,34839,2065,1293,5613,3034,2841,844,28.46,0
3,1,8,37939,11149,1265,14628,3791,6811,1611,631,28.81,0
3,1,9,38642,12578,1356,16774,2931,6653,1088,575,32.07,0
3,1,10,37622,9779,1426,15130,3690,6013,1478,749,29.64,0
3,1,11,43202,10378,972,14595,3175,6092,1386,610,27.05,0
3,1,12,35705,12241,1154,14258,3163,6374,1810,768,27.13,0
3,1,13,36423,9745,1179,14565,4060,6564,1522,502,28.24,0
3,1,14,39337,9217,1162,14518,3369,6730,1598,700,30.89,0
3,1,15,42716,12705,1225,13495,3656,6698,1540,672,28.68,0
3,1,16,40251,12553,1363,12349,3578,7095,1234,507,28.18,0
3,1,17,35729,9943,1060,17378,3791,7121,1502,714,24.38,0
3,1,18,29091,19310,4314,3971,4404,4443,1015,1561,28.55,0
3,1,19,25341,18066,4004,3578,4788,3573,776,1493,28.19,0
3,1,20,31351,19243,3770,3915,4429,4413,1193,1596,30.28,0
3,1,21,22625,17306,4099,4007,5137,3693,801,1825,25.11,0
3,1,22,34176,20127,3980,3748,4623,4847,712,1618,28.07,0
3,1,23,29442,18309,4519,4630,3633,5228,933,1394,30.35,0
3,1,24,34041,19961,5275,4769,4844,3333,1166,1610,27.86,0
3,1,25,27720,22426,3869,4582,4854,3603,1045,1449,28.55,0
3,1,26,29599,20546,4679,3524,4252,5044,1176,1366,29.24,0
3,1,27,29561,18476,4009,4883,4362,3976,850,1583,28.95,0
3,1,28,97182,55450,8897,7341,10474,4306,1848,1966,28.39,0
3,1,29,95090,58528,8583,6502,9804,4367,1900,2060,29.74,0
3,1,30,104978,56566,8686,8863,10524,3748,1764,1956,28.52,0
3,1,31,90056,56620,8079,8288,10822,3196,1954,1892,27.2,0
3,1,32,82937,51552,9123,7580,10429,4180,1913,2181,28.17,0
3,1,33,95142,55066,9576,7369,11997,3880,1910,2179,24.99,0
3,1,34,96329,54568,8643,9170,11166,4256,2002,1701,30.13,0
3,1,35,95572,56989,7780,6298,8703,4899,1779,2229,28.01,0
3,1,36,94963,52385,8718,6311,10574,4506,2231,2117,32.17,0
3,1,37,92936,53052,8542,7174,11039,4186,2238,2044,30.85,0
3,1,38,34772,35168,936,6835,11852,5681,2699,813,28.41,0
